ngram,log_prob
ras,-8.21292831755457
nar,-8.215025379601107
heu,-8.215266594441664
orp,-8.215750633708506
toh,-8.215847641895728
llb,-8.217874048499832
lys,-8.218481649747998
bas,-8.218765150672569
ofp,-8.220199716989725
udi,-8.221874827882166
gam,-8.223101925243363
oro,-8.223334975130104
tow,-8.224922952104597
nch,-8.226827680347888
ybe,-8.227053182821027
smo,-8.227113847893103
anb,-8.227159421683826
ull,-8.228245679354504
sde,-8.229583920352074
sus,-8.22974339569019
eba,-8.230505328660941
ofo,-8.231847182363008
nve,-8.23264808092935
ila,-8.23327144580294
sam,-8.233637178307578
lbe,-8.233898998726566
dde,-8.234834924162952
ppe,-8.235066921174068
ndb,-8.235396139187696
nam,-8.235478680161872
fit,-8.238474078497083
lab,-8.23959504090301
das,-8.241861068582702
urt,-8.242421820529492
mic,-8.243370481026945
riv,-8.244371427596777
bac,-8.24668798151926
rmo,-8.250259794622652
dep,-8.25073611011891
aro,-8.251621893356786
ppl,-8.254369865125557
asp,-8.257588846914516
arl,-8.259014913321831
ths,-8.260667823859297
oce,-8.261223005854795
atw,-8.2612545424767
eel,-8.262469308918812
ife,-8.263919221735687
erb,-8.264725437230492
nli,-8.266553276119142
wan,-8.269930537791398
lev,-8.271213229199596
mus,-8.272952688250292
ape,-8.273210114286178
unc,-8.275742619170563
urr,-8.275971197844985
rmi,-8.277545847595794
tya,-8.278392766266029
lop,-8.279776315885634
ems,-8.281532279691278
rme,-8.28237859476048
rsh,-8.283064144239566
ldi,-8.283570475929565
awa,-8.283600575272757
bus,-8.283612553834818
opr,-8.283677056250916
arn,-8.283872739034695
aut,-8.28523620826774
inn,-8.287380936291585
cri,-8.288345468154349
alm,-8.288626335041032
wou,-8.291703438909325
los,-8.294120307563883
dow,-8.295288983520107
mem,-8.296018273172736
cit,-8.296240025455198
cco,-8.298504836711558
eab,-8.299735458283891
gat,-8.300829471194797
wat,-8.301208891848397
wth,-8.301423668985118
els,-8.301462440079021
nex,-8.306228332819392
neo,-8.306359664465921
dge,-8.307387663215966
ngm,-8.307555638665523
ibl,-8.308647222593418
lre,-8.310241097058285
ofm,-8.310931818681556
req,-8.313240945145687
cli,-8.313564338615514
hip,-8.313703917420082
spi,-8.31442807753132
arm,-8.315265615902094
aki,-8.316998055949883
ept,-8.317256910401282
wea,-8.318017981116698
dma,-8.318255795438882
urp,-8.318862987132427
cla,-8.318903394843051
bri,-8.319159242181232
ada,-8.32139496149354
rve,-8.321730894509168
ebu,-8.321864916374718
